crops,kind_type,growth_stage,label_name,label,farm_id,receive_date,ti_value,hi_value,ci_value,ir_value,tl_value,ei_value,pl_value,sr_value,cl_value,el_value,hl_value,pi_value,rp_value
딸기,설향,정식기,sul_1,0,AIF005,2021-08-27 9:45,28,70,494,262,24.1,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-30 14:29,33,51,398,173,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-30 14:45,34,46,385,347,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-30 15:45,32,51,390,198,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-30 17:45,29,65,416,133,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-30 18:45,27,72,418,89,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 6:45,23,86,472,85,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 7:45,25,82,463,101,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 8:45,27,75,464,173,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 9:45,29,66,446,282,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 10:45,31,59,425,314,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 11:45,33,52,410,314,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 13:45,34,51,390,169,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 14:45,34,51,387,149,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 16:45,32,57,405,129,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 17:45,30,67,435,105,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-08-31 18:45,28,72,443,93,,,,,,,,,
딸기,설향,정식기,sul_1,0,AIF005,2021-09-01 8:45,26,78,422,141,,,,141,,,,7.9,N
딸기,설향,정식기,sul_1,0,AIF005,2021-09-01 9:45,27,79,415,153,,,,153,,,,7.8,N
딸기,설향,정식기,sul_1,0,AIF005,2021-09-01 11:45,26,86,415,97,,,,97,,,,7.8,N
딸기,설향,정식기,sul_1,0,AIF005,2021-09-01 13:45,33,61,388,181,,,,181,,,,7.7,N
딸기,설향,정식기,sul_1,0,AIF005,2021-09-01 14:45,32,64,410,306,,,,306,,,,7.7,N
